Microsoft (R) COFF/PE Dumper Version 9.00.21022.08
Copyright (C) Microsoft Corporation.  All rights reserved.
       1648  66F 0006E918 ?GetProxyCreator@InvokeProvider@DirectUI@@UEAAP6APEAVProviderProxy@2@PEAVElement@2@@ZXZ
       1649  670 0006F3CC ?GetProxyCreator@RangeValueProvider@DirectUI@@UEAAP6APEAVProviderProxy@2@PEAVElement@2@@ZXZ
       1650  671 000733CC ?GetProxyCreator@ScrollItemProvider@DirectUI@@UEAAP6APEAVProviderProxy@2@PEAVElement@2@@ZXZ
       1651  672 0006F118 ?GetProxyCreator@ScrollProvider@DirectUI@@UEAAP6APEAVProviderProxy@2@PEAVElement@2@@ZXZ
       1652  673 0006EE6C ?GetProxyCreator@SelectionItemProvider@DirectUI@@UEAAP6APEAVProviderProxy@2@PEAVElement@2@@ZXZ
       1653  674 00074CE8 ?GetProxyCreator@SelectionProvider@DirectUI@@UEAAP6APEAVProviderProxy@2@PEAVElement@2@@ZXZ
       1654  675 00075500 ?GetProxyCreator@TableItemProvider@DirectUI@@UEAAP6APEAVProviderProxy@2@PEAVElement@2@@ZXZ
       1655  676 00076010 ?GetProxyCreator@TableProvider@DirectUI@@UEAAP6APEAVProviderProxy@2@PEAVElement@2@@ZXZ
       1656  677 000768A8 ?GetProxyCreator@ToggleProvider@DirectUI@@UEAAP6APEAVProviderProxy@2@PEAVElement@2@@ZXZ
       1657  678 00077FAC ?GetProxyCreator@ValueProvider@DirectUI@@UEAAP6APEAVProviderProxy@2@PEAVElement@2@@ZXZ
       1658  679 000654FC ?GetRangeMax@CCTrackBar@DirectUI@@QEAAHXZ
       1659  67A 000654A8 ?GetRangeMin@CCTrackBar@DirectUI@@QEAAHXZ
       1660  67B 00058FB4 ?GetRect@Value@DirectUI@@QEAAPEBUtagRECT@@XZ
       1661  67C 00020430 ?GetRectZero@Value@DirectUI@@SAPEAV12@XZ
       1662  67D 00058F68 ?GetRefCount@Value@DirectUI@@QEBAHXZ
       1663  67E 00062D58 ?GetReferencePoint@RefPointElement@DirectUI@@QEAAPEBUtagPOINT@@PEAPEAVValue@2@@Z
       1664  67F 00061788 ?GetRegisteredDefaultButton@DialogElement@DirectUI@@QEAAPEAVElement@2@XZ
       1665  680 0006D074 ?GetRepeat@Movie@DirectUI@@QEAA_NXZ
       1666  681 0005F200 ?GetResourceHInstance@DUIXmlParser@DirectUI@@QEAAPEAUHINSTANCE__@@XZ
       1667  682 000026CC ?GetRoot@Element@DirectUI@@QEAAPEAV12@XZ
       1668  683 00035E50 ?GetRoot@XProvider@DirectUI@@IEAAPEAVElement@2@XZ
       1669  684 0002FB00 ?GetRootRelativeBounds@Element@DirectUI@@QEAAJPEAUtagRECT@@@Z
       1670  685 00071C20 ?GetRow@GridItemProxy@DirectUI@@AEAAJPEAH@Z
       1671  686 000725DC ?GetRowCount@GridProxy@DirectUI@@AEAAJPEAH@Z
       1672  687 000761D4 ?GetRowHeaderItems@TableItemProvider@DirectUI@@UEAAJPEAPEAUtagSAFEARRAY@@@Z
       1673  688 000761D4 ?GetRowHeaders@TableProvider@DirectUI@@UEAAJPEAPEAUtagSAFEARRAY@@@Z
       1674  689 0006DF58 ?GetRuntimeId@ElementProvider@DirectUI@@UEAAJPEAPEAUtagSAFEARRAY@@@Z
       1675  68A 0006E190 ?GetRuntimeId@ElementProxy@DirectUI@@IEAAJPEAPEAUtagSAFEARRAY@@@Z
       1676  68B 000741F8 ?GetScrollBar@ScrollProxy@DirectUI@@AEAAPEAVBaseScrollBar@2@_N@Z
       1677  68C 00074598 ?GetScrollPercent@ScrollProxy@DirectUI@@AEAAJ_NPEAN@Z
       1678  68D 0007438C ?GetScrollable@ScrollProxy@DirectUI@@AEAAJ_NPEAH@Z
       1679  68E 0005961C ?GetSelected@Element@DirectUI@@QEAA_NXZ
       1680  68F 00075204 ?GetSelection@BrowserSelectionProxy@DirectUI@@AEAAJPEAPEAUtagSAFEARRAY@@@Z
       1681  690 00038910 ?GetSelection@Combobox@DirectUI@@QEAAHXZ
       1682  691 00074F08 ?GetSelection@SelectionProvider@DirectUI@@UEAAJPEAPEAUtagSAFEARRAY@@@Z
       1683  692 00039E00 ?GetSelection@Selector@DirectUI@@QEAAPEAVElement@2@XZ
       1684  693 00074958 ?GetSelectionContainer@SelectorSelectionItemProxy@DirectUI@@AEAAJPEAPEAUIRawElementProviderSimple@@@Z
       1685  694 0005986C ?GetShadowIntensity@Element@DirectUI@@QEAAHXZ
       1686  695 00009944 ?GetSheet@DUIXmlParser@DirectUI@@QEAAJPEBGPEAPEAVValue@2@@Z
       1687  696 0005960C ?GetSheet@Element@DirectUI@@QEAAPEAVStyleSheet@2@XZ
       1688  697 000592D0 ?GetSheetContext@DUIXmlParser@DirectUI@@QEAAPEAXXZ
       1689  698 000210A0 ?GetSheetNull@Value@DirectUI@@SAPEAV12@XZ
       1690  699 0002E220 ?GetShortcut@Element@DirectUI@@QEAAHXZ
       1691  69A 0005E124 ?GetShortcutChar@Element@DirectUI@@QEAAGXZ
       1692  69B 00015720 ?GetSinkRect@HWNDHost@DirectUI@@AEAAXPEBUtagRECT@@PEAU3@@Z
       1693  69C 00058FB4 ?GetSize@Value@DirectUI@@QEAAPEBUtagSIZE@@XZ
       1694  69D 00020420 ?GetSizeZero@Value@DirectUI@@SAPEAV12@XZ
       1695  69E 0006D578 ?GetSmoothingMode@Movie@DirectUI@@QEAAHXZ
       1696  69F 00034D6C ?GetStaticColor@HWNDHost@DirectUI@@IEAA_NPEAUHDC__@@PEAPEAUHBRUSH__@@@Z
       1697  6A0 000701E0 ?GetString@EventManager@DirectUI@@CAJPEAUtagVARIANT@@PEAVValue@2@@Z
       1698  6A1 00035E50 ?GetString@Value@DirectUI@@QEAAPEBGXZ
       1699  6A2 000144D0 ?GetStringNull@Value@DirectUI@@SAPEAV12@XZ
       1700  6A3 0006AEB4 ?GetStyle@CCTreeView@DirectUI@@QEAAKXZ
       1701  6A4 00035E50 ?GetStyleSheet@Value@DirectUI@@QEAAPEAVStyleSheet@2@XZ
       1702  6A5 00058190 ?GetSurfaceType@Surface@DirectUI@@SA?AW4EType@12@I@Z
       1703  6A6 00058190 ?GetSurfaceType@Surface@DirectUI@@SAIW4EType@12@@Z
       1704  6A7 00068320 ?GetTargetPage@Navigator@DirectUI@@QEAAPEBGPEAPEAVValue@2@@Z
       1705  6A8 00059550 ?GetTextGlowSize@Element@DirectUI@@QEAAHXZ
       1706  6A9 000400B8 ?GetTextHeight@Edit@DirectUI@@AEAAIXZ
       1707  6AA 0005B454 ?GetThemeChanged@HWNDHost@DirectUI@@IEAAHXZ
       1708  6AB 0004328C ?GetThemedBorder@Edit@DirectUI@@QEAA_NXZ
       1709  6AC 00039B7C ?GetThumbPosition@CCTrackBar@DirectUI@@QEAAHXZ
       1710  6AD 00070260 ?GetToggleState@EventManager@DirectUI@@CAXPEAUtagVARIANT@@@Z
       1711  6AE 00076BDC ?GetToggleState@ToggleProxy@DirectUI@@AEAAJPEAW4ToggleState@@@Z
       1712  6AF 0002F120 ?GetTooltip@Element@DirectUI@@QEAA_NXZ
       1713  6B0 00035C8C ?GetTooltipMaxWidth@Element@DirectUI@@QEAAHXZ
       1714  6B1 0002BEA0 ?GetTopLevel@Element@DirectUI@@QEAAPEAV12@XZ
       1715  6B2 0002E91C ?GetTracking@CCBaseScrollBar@DirectUI@@QEAA_NXZ
       1716  6B3 0005B354 ?GetTransparent@HWNDHost@DirectUI@@QEAA_NXZ
       1717  6B4 000605C0 ?GetTreeAlphaLevel@Element@DirectUI@@QEAAMXZ
       1718  6B5 00001A98 ?GetType@DCSurface@DirectUI@@UEBA?AW4EType@Surface@2@XZ
       1719  6B6 00058F98 ?GetType@Value@DirectUI@@QEBAHXZ
       1720  6B7 0003AA10 ?GetTypeInfo@DuiAccessible@DirectUI@@UEAAJIKPEAPEAUITypeInfo@@@Z
       1721  6B8 0003AA10 ?GetTypeInfoCount@DuiAccessible@DirectUI@@UEAAJPEAI@Z
       1722  6B9 0005AB90 ?GetUIState@HWNDElement@DirectUI@@QEAAGXZ
       1723  6BA 00061200 ?GetUnavailable@Value@DirectUI@@SAPEAV12@XZ
       1724  6BB 000144C0 ?GetUnset@Value@DirectUI@@SAPEAV12@XZ
       1725  6BC 00032D88 ?GetVScroll@ScrollViewer@DirectUI@@MEAAPEAVBaseScrollBar@2@XZ
       1726  6BD 00027510 ?GetVScroll@StyledScrollViewer@DirectUI@@MEAAPEAVBaseScrollBar@2@XZ
       1727  6BE 0002B8A8 ?GetValue@Element@DirectUI@@QEAAPEAVValue@2@P6APEBUPropertyInfo@2@XZHPEAUUpdateCache@2@@Z
       1728  6BF 00001190 ?GetValue@Element@DirectUI@@QEAAPEAVValue@2@PEBUPropertyInfo@2@HPEAUUpdateCache@2@@Z
       1729  6C0 00078654 ?GetValue@ValueProxy@DirectUI@@AEAAJPEAPEAG@Z
       1730  6C1 0000B9F8 ?GetValueParser@DUIXmlParser@DirectUI@@IEAAJPEAPEAVValueParser@ParserTools@2@@Z
       1731  6C2 00063BC0 ?GetVertical@ScrollBar@DirectUI@@QEAA_NXZ
       1732  6C3 000742F8 ?GetViewSize@ScrollProxy@DirectUI@@AEAAJ_NPEAN@Z
       1733  6C4 00073F38 ?GetViewer@ScrollProxy@DirectUI@@AEAAJPEAPEAVViewer@2@@Z
       1734  6C5 000592DC ?GetVisible@Element@DirectUI@@QEAA_NXZ
       1735  6C6 0005B8B8 ?GetWantTabs@Edit@DirectUI@@QEAA_NXZ
       1736  6C7 0002DA00 ?GetWidth@Element@DirectUI@@QEAAHXZ
       1737  6C8 000644B8 ?GetWinStyle@CCBase@DirectUI@@QEAAHXZ
       1738  6C9 0003AA10 ?GetWindow@DuiAccessible@DirectUI@@UEAAJPEAPEAUHWND__@@@Z
       1739  6CA 000302D0 ?GetWindow@HWNDHostAccessible@DirectUI@@UEAAJPEAPEAUHWND__@@@Z
       1740  6CB 00032BC0 ?GetWindowActive@Element@DirectUI@@QEAA_NXZ
       1741  6CC 0005ABEC ?GetWrapKeyboardNavigate@HWNDElement@DirectUI@@QEAA_NXZ
       1742  6CD 00027ECC ?GetX@Element@DirectUI@@QEAAHXZ
       1743  6CE 00065904 ?GetXBarVisibility@BaseScrollViewer@DirectUI@@QEAAHXZ
       1744  6CF 000657B4 ?GetXOffset@BaseScrollViewer@DirectUI@@QEAAHXZ
       1745  6D0 0002E654 ?GetXOffset@Viewer@DirectUI@@QEAAHXZ
       1746  6D1 0006585C ?GetXScrollable@BaseScrollViewer@DirectUI@@QEAA_NXZ
       1747  6D2 0002C79C ?GetXScrollable@Viewer@DirectUI@@QEAA_NXZ
       1748  6D3 0000D2B0 ?GetXmlLiteDll@DUIXmlParser@DirectUI@@KAJPEAPEAUHINSTANCE__@@@Z
       1749  6D4 00017880 ?GetY@Element@DirectUI@@QEAAHXZ
       1750  6D5 00065958 ?GetYBarVisibility@BaseScrollViewer@DirectUI@@QEAAHXZ
       1751  6D6 00065808 ?GetYOffset@BaseScrollViewer@DirectUI@@QEAAHXZ
       1752  6D7 0002E68C ?GetYOffset@Viewer@DirectUI@@QEAAHXZ
       1753  6D8 000658B0 ?GetYScrollable@BaseScrollViewer@DirectUI@@QEAA_NXZ
       1754  6D9 000642F0 ?GetYScrollable@Viewer@DirectUI@@QEAA_NXZ
       1755  6DA 000DCC8C ?GridItemPattern@Schema@DirectUI@@2HA
       1756  6DB 000DCD00 ?GridItem_ColumnSpan_Property@Schema@DirectUI@@2HA
       1757  6DC 000DCCC0 ?GridItem_Column_Property@Schema@DirectUI@@2HA
       1758  6DD 000DCB90 ?GridItem_Parent_Property@Schema@DirectUI@@2HA
       1759  6DE 000DCCB8 ?GridItem_RowSpan_Property@Schema@DirectUI@@2HA
       1760  6DF 000DCD10 ?GridItem_Row_Property@Schema@DirectUI@@2HA
       1761  6E0 000DCC28 ?GridPattern@Schema@DirectUI@@2HA
       1762  6E1 000DCB94 ?Grid_ColumnCount_Property@Schema@DirectUI@@2HA
       1763  6E2 000DCD04 ?Grid_RowCount_Property@Schema@DirectUI@@2HA
       1764  6E3 000DCD08 ?GroupControlType@Schema@DirectUI@@2HA
       1765  6E4 0003C2B0 ?HandleAccChange@EventManager@DirectUI@@CAJPEAVElement@2@PEAUIRawElementProviderSimple@@PEAVValue@2@2@Z
       1766  6E5 00070384 ?HandleAccDesc@EventManager@DirectUI@@CAJPEAVElement@2@PEAUIRawElementProviderSimple@@PEAVValue@2@2@Z
       1767  6E6 0003C414 ?HandleAccPatternChange@EventManager@DirectUI@@CAJPEAVElement@2@PEAUIRawElementProviderSimple@@IIHPEAUtagVARIANT@@2P6AX2@Z@Z
       1768  6E7 0007059C ?HandleAccRoleEvent@EventManager@DirectUI@@CAJPEAUIRawElementProviderSimple@@PEAVValue@2@1@Z
       1769  6E8 0003C1D0 ?HandleAccStateChange@EventManager@DirectUI@@CAJPEAUIRawElementProviderSimple@@IIHPEAUtagVARIANT@@1@Z
       1770  6E9 00070824 ?HandleBoolProp@EventManager@DirectUI@@CAJPEAVElement@2@P6A_N0@ZPEAUIRawElementProviderSimple@@HPEAVValue@2@3@Z
       1771  6EA 0003C77C ?HandleChildrenEvent@EventManager@DirectUI@@CAJPEAVElement@2@PEAVValue@2@1@Z
       1772  6EB 000362D8 ?HandleEnterKeyProp@DialogElement@DirectUI@@SAPEBUPropertyInfo@2@XZ
       1773  6EC 00070A44 ?HandleRangeValue@EventManager@DirectUI@@CAJPEAVElement@2@PEAUIRawElementProviderSimple@@PEAVValue@2@2@Z
       1774  6ED 000706BC ?HandleScrollPos@EventManager@DirectUI@@CAJPEAVElement@2@PEAUIRawElementProviderSimple@@PEAVValue@2@2@Z
       1775  6EE 00070B74 ?HandleSelectedChange@EventManager@DirectUI@@CAJPEAUIRawElementProviderSimple@@PEAVValue@2@@Z
       1776  6EF 00070918 ?HandleStringProp@EventManager@DirectUI@@CAJPEAUIRawElementProviderSimple@@HPEAVValue@2@1@Z
       1777  6F0 00008100 ?HandleUiaDestroyListener@Element@DirectUI@@UEAAXXZ
       1778  6F1 0001762C ?HandleUiaEventListener@Element@DirectUI@@UEAAXPEAUEvent@2@@Z
       1779  6F2 000030EC ?HandleUiaPropertyChangingListener@Element@DirectUI@@UEAAXPEBUPropertyInfo@2@@Z
       1780  6F3 00003ADC ?HandleUiaPropertyListener@Element@DirectUI@@UEAAXPEBUPropertyInfo@2@HPEAVValue@2@1@Z
       1781  6F4 0003C220 ?HandleVisibilityChange@EventManager@DirectUI@@CAJPEAVElement@2@I@Z
       1782  6F5 000592A8 ?HasAnimation@Element@DirectUI@@QEAA_NXZ
       1783  6F6 00059238 ?HasBorder@Element@DirectUI@@QEAA_NXZ
       1784  6F7 00059210 ?HasChildren@Element@DirectUI@@QEAA_NXZ
       1785  6F8 00059274 ?HasContent@Element@DirectUI@@QEAA_NXZ
       1786  6F9 000DCC6C ?HasKeyboardFocusProperty@Schema@DirectUI@@2HA
       1787  6FA 00059224 ?HasLayout@Element@DirectUI@@QEAA_NXZ
       1788  6FB 00059260 ?HasMargin@Element@DirectUI@@QEAA_NXZ
       1789  6FC 0005924C ?HasPadding@Element@DirectUI@@QEAA_NXZ
       1790  6FD 0006A920 ?HasShieldProp@CCPushButton@DirectUI@@SAPEBUPropertyInfo@2@XZ
       1791  6FE 0002F5BC ?HaveWin32Focus@HWNDHost@DirectUI@@AEAA_NXZ
       1792  6FF 000DCBA4 ?HeaderControlType@Schema@DirectUI@@2HA
       1793  700 000DCC68 ?HeaderItemControlType@Schema@DirectUI@@2HA
       1794  701 000053EC ?HeightProp@Element@DirectUI@@SAPEBUPropertyInfo@2@XZ
       1795  702 000DCB98 ?HelpTextProperty@Schema@DirectUI@@2HA
       1796  703 000623EC ?HideWindow@NativeHWNDHost@DirectUI@@QEAAXXZ
       1797  704 00069848 ?HideWindow@XHost@DirectUI@@QEAAXXZ
       1798  705 0005E850 ?HighDPIProp@Element@DirectUI@@SAPEBUPropertyInfo@2@XZ
       1799  706 000638A8 ?Home@BaseScrollBar@DirectUI@@UEAAXXZ
       1800  707 00020AE8 ?Host@NativeHWNDHost@DirectUI@@QEAAXPEAVElement@2@@Z
       1801  708 00036FD8 ?Host@XHost@DirectUI@@QEAAXPEAVElement@2@@Z
       1802  709 00069280 ?Hosted@PushButton@DirectUI@@SA?AVUID@@XZ
       1803  70A 000DCDA4 ?HyperlinkControlType@Schema@DirectUI@@2HA
       1804  70B 0001981C ?IDProp@Element@DirectUI@@SAPEBUPropertyInfo@2@XZ
       1805  70C 0008B3F4 ?INITIALSTACKSKIP@CallstackTracker@DirectUI@@0HB
       1806  70D 000DCC14 ?ImageControlType@Schema@DirectUI@@2HA
       1807  70E 00076580 ?Init@?$PatternProvider@VExpandCollapseProvider@DirectUI@@UIExpandCollapseProvider@@$00@DirectUI@@UEAAXPEAVElementProvider@2@@Z
       1808  70F 00076580 ?Init@?$PatternProvider@VGridItemProvider@DirectUI@@UIGridItemProvider@@$01@DirectUI@@UEAAXPEAVElementProvider@2@@Z
       1809  710 00076580 ?Init@?$PatternProvider@VGridProvider@DirectUI@@UIGridProvider@@$02@DirectUI@@UEAAXPEAVElementProvider@2@@Z
       1810  711 00076580 ?Init@?$PatternProvider@VInvokeProvider@DirectUI@@UIInvokeProvider@@$0A@@DirectUI@@UEAAXPEAVElementProvider@2@@Z
       1811  712 00076580 ?Init@?$PatternProvider@VRangeValueProvider@DirectUI@@UIRangeValueProvider@@$03@DirectUI@@UEAAXPEAVElementProvider@2@@Z
       1812  713 00076580 ?Init@?$PatternProvider@VScrollItemProvider@DirectUI@@UIScrollItemProvider@@$05@DirectUI@@UEAAXPEAVElementProvider@2@@Z
       1813  714 00076580 ?Init@?$PatternProvider@VScrollProvider@DirectUI@@UIScrollProvider@@$04@DirectUI@@UEAAXPEAVElementProvider@2@@Z
       1814  715 00076580 ?Init@?$PatternProvider@VSelectionItemProvider@DirectUI@@UISelectionItemProvider@@$06@DirectUI@@UEAAXPEAVElementProvider@2@@Z
       1815  716 00076580 ?Init@?$PatternProvider@VSelectionProvider@DirectUI@@UISelectionProvider@@$07@DirectUI@@UEAAXPEAVElementProvider@2@@Z
       1816  717 00076580 ?Init@?$PatternProvider@VTableItemProvider@DirectUI@@UITableItemProvider@@$09@DirectUI@@UEAAXPEAVElementProvider@2@@Z
       1817  718 00076580 ?Init@?$PatternProvider@VTableProvider@DirectUI@@UITableProvider@@$08@DirectUI@@UEAAXPEAVElementProvider@2@@Z
       1818  719 00076580 ?Init@?$PatternProvider@VToggleProvider@DirectUI@@UIToggleProvider@@$0L@@DirectUI@@UEAAXPEAVElementProvider@2@@Z
       1819  71A 00076580 ?Init@?$PatternProvider@VValueProvider@DirectUI@@UIValueProvider@@$0M@@DirectUI@@UEAAXPEAVElementProvider@2@@Z
       1820  71B 0005AEF0 ?Init@AutoThread@DirectUI@@QEAAJXZ
       1821  71C 0003B060 ?Init@BrowserSelectionProxy@DirectUI@@MEAAXPEAVElement@2@@Z
       1822  71D 0005D42C ?Init@CallstackTracker@DirectUI@@SAHXZ
       1823  71E 0003A560 ?Init@ElementProvider@DirectUI@@MEAAJPEAVElement@2@PEAVInvokeHelper@2@@Z
       1824  71F 00024C90 ?Init@ElementProviderManager@DirectUI@@SAJXZ
       1825  720 0003B060 ?Init@ElementProxy@DirectUI@@MEAAXPEAVElement@2@@Z
       1826  721 0002461C ?Init@EventManager@DirectUI@@SAJXZ
       1827  722 0003B060 ?Init@ExpandCollapseProxy@DirectUI@@MEAAXPEAVElement@2@@Z
       1828  723 0003B060 ?Init@GridItemProxy@DirectUI@@MEAAXPEAVElement@2@@Z
       1829  724 0003B060 ?Init@GridProxy@DirectUI@@MEAAXPEAVElement@2@@Z
       1830  725 00072940 ?Init@HWNDElementProvider@DirectUI@@MEAAJPEAVHWNDElement@2@PEAVInvokeHelper@2@@Z
       1831  726 0003B060 ?Init@HWNDElementProxy@DirectUI@@UEAAXPEAVHWNDElement@2@@Z
       1832  727 0003B728 ?Init@InvokeHelper@DirectUI@@QEAAHK@Z
       1833  728 00024698 ?Init@InvokeManager@DirectUI@@SAJXZ
       1834  729 0003B060 ?Init@InvokeProxy@DirectUI@@MEAAXPEAVElement@2@@Z
       1835  72A 00033F20 ?Init@NavReference@DirectUI@@QEAAXPEAVElement@2@PEAUtagRECT@@@Z
       1836  72B 0005FA70 ?Init@NavScoring@DirectUI@@QEAAXPEAVElement@2@HPEBUNavReference@2@@Z
       1837  72C 0003B060 ?Init@NavigatorSelectionItemProxy@DirectUI@@MEAAXPEAVElement@2@@Z
       1838  72D 0003B060 ?Init@ProgressRangeValueProxy@DirectUI@@MEAAXPEAVElement@2@@Z
       1839  72E 0003B060 ?Init@ProviderProxy@DirectUI@@MEAAXPEAVElement@2@@Z
       1840  72F 0003B060 ?Init@RangeValueProxy@DirectUI@@MEAAXPEAVElement@2@@Z
       1841  730 0001E3A0 ?Init@Schema@DirectUI@@SAJXZ
       1842  731 0003B060 ?Init@ScrollBarRangeValueProxy@DirectUI@@MEAAXPEAVElement@2@@Z
       1843  732 0003B060 ?Init@ScrollItemProxy@DirectUI@@MEAAXPEAVElement@2@@Z
       1844  733 0003B060 ?Init@ScrollProxy@DirectUI@@MEAAXPEAVElement@2@@Z
       1845  734 0003B060 ?Init@SelectionItemProxy@DirectUI@@MEAAXPEAVElement@2@@Z
       1846  735 0003B060 ?Init@SelectionProxy@DirectUI@@MEAAXPEAVElement@2@@Z
       1847  736 0003B060 ?Init@SelectorSelectionItemProxy@DirectUI@@MEAAXPEAVElement@2@@Z
       1848  737 0003B060 ?Init@SelectorSelectionProxy@DirectUI@@MEAAXPEAVElement@2@@Z
       1849  738 0003B060 ?Init@TableItemProxy@DirectUI@@MEAAXPEAVElement@2@@Z
       1850  739 0003B060 ?Init@TableProxy@DirectUI@@MEAAXPEAVElement@2@@Z
       1851  73A 0003B060 ?Init@ToggleProxy@DirectUI@@MEAAXPEAVElement@2@@Z
       1852  73B 0003B060 ?Init@ValueProxy@DirectUI@@MEAAXPEAVElement@2@@Z
       1853  73C 00025FD0 ?InitDefaultFontSize@Element@DirectUI@@SAXXZ
       1854  73D 0005B0A4 ?InitFailed@CallstackTracker@DirectUI@@CAHXZ
       1855  73E 00020DEC ?InitProcess@FontCache@DirectUI@@SAJXZ
       1856  73F 000025F0 ?InitPropSheetPage@TaskPage@DirectUI@@MEAAXPEAU_PROPSHEETPAGEW@@@Z
       1857  740 00012AA0 ?InitThread@FontCache@DirectUI@@SAJXZ
       1858  741 00067C98 ?Initialize@AccessibleButton@DirectUI@@QEAAJPEAVElement@2@PEAK@Z
       1859  742 00066BC0 ?Initialize@AnimationStrip@DirectUI@@QEAAJIPEAVElement@2@PEAK@Z
       1860  743 00067C98 ?Initialize@AutoButton@DirectUI@@QEAAJPEAVElement@2@PEAK@Z
       1861  744 0001DC1C ?Initialize@BaseScrollViewer@DirectUI@@QEAAJPEAVElement@2@PEAK@Z
       1862  745 0002EE9C ?Initialize@Bind@DirectUI@@QEAAJPEAVElement@2@PEAK@Z
       1863  746 00067550 ?Initialize@BorderLayout@DirectUI@@QEAAXXZ
       1864  747 0002EE9C ?Initialize@Browser@DirectUI@@QEAAJPEAVElement@2@PEAK@Z
       1865  748 0000B7D4 ?Initialize@Button@DirectUI@@QEAAJIPEAVElement@2@PEAK@Z
       1866  749 000279DC ?Initialize@CCBase@DirectUI@@QEAAJIPEAVElement@2@PEAK@Z
       1867  74A 0002E140 ?Initialize@CCBaseScrollBar@DirectUI@@QEAAJIPEAVElement@2@PEAK@Z
       1868  74B 000433CC ?Initialize@CCListView@DirectUI@@QEAAJIPEAVElement@2@PEAK@Z
       1869  74C 00041868 ?Initialize@CCProgressBar@DirectUI@@QEAAJIPEAVElement@2@PEAK@Z
       1870  74D 000616DC ?Initialize@CheckBoxGlyph@DirectUI@@QEAAJIPEAVElement@2@PEAK@Z
       1871  74E 00012648 ?Initialize@ClassInfoBase@DirectUI@@QEAAJPEAUHINSTANCE__@@PEBG_NPEBQEBUPropertyInfo@2@I@Z
       1872  74F 000429C0 ?Initialize@Clipper@DirectUI@@QEAAJPEAVElement@2@PEAK@Z
       1873  750 000279DC ?Initialize@Combobox@DirectUI@@QEAAJIPEAVElement@2@PEAK@Z
       1874  751 0000F0CC ?Initialize@DUIXmlParser@DirectUI@@IEAAJXZ
       1875  752 0005BC40 ?Initialize@DuiAccessible@DirectUI@@QEAAXPEAVElement@2@@Z
       1876  753 000279DC ?Initialize@Edit@DirectUI@@QEAAJIPEAVElement@2@PEAK@Z
       1877  754 0000ABF0 ?Initialize@Element@DirectUI@@QEAAJIPEAV12@PEAK@Z
       1878  755 00042CA4 ?Initialize@Expando@DirectUI@@QEAAJPEAVElement@2@PEAK@Z
       1879  756 000616DC ?Initialize@ExpandoButtonGlyph@DirectUI@@QEAAJIPEAVElement@2@PEAK@Z
       1880  757 000427D0 ?Initialize@FillLayout@DirectUI@@QEAAXXZ
       1881  758 000676D0 ?Initialize@FlowLayout@DirectUI@@QEAAX_NIII@Z
       1882  759 00041200 ?Initialize@GridLayout@DirectUI@@QEAAXHH@Z
       1883  75A 00012174 ?Initialize@HWNDElement@DirectUI@@QEAAJPEAUHWND__@@_NIPEAVElement@2@PEAK@Z
       1884  75B 00030FD0 ?Initialize@HWNDElementAccessible@DirectUI@@QEAAJPEAVHWNDElement@2@@Z
       1885  75C 00019C7C ?Initialize@HWNDHost@DirectUI@@QEAAJIIPEAVElement@2@PEAK@Z
       1886  75D 00031D84 ?Initialize@HWNDHostAccessible@DirectUI@@QEAAJPEAVElement@2@PEAUIAccessible@@@Z
       1887  75E 0002D954 ?Initialize@Layout@DirectUI@@QEAAXXZ
       1888  75F 0002EE9C ?Initialize@Macro@DirectUI@@QEAAJPEAVElement@2@PEAK@Z
       1889  760 00020BB0 ?Initialize@NativeHWNDHost@DirectUI@@QEAAJPEBG0PEAUHWND__@@PEAUHICON__@@HHHHHHPEAUHINSTANCE__@@I@Z
       1890  761 00062438 ?Initialize@NativeHWNDHost@DirectUI@@QEAAJPEBGPEAUHWND__@@PEAUHICON__@@HHHHHHI@Z
       1891  762 00067C98 ?Initialize@Navigator@DirectUI@@QEAAJPEAVElement@2@PEAK@Z
       1892  763 000678FC ?Initialize@NineGridLayout@DirectUI@@QEAAXXZ
       1893  764 0006C5F0 ?Initialize@PText@DirectUI@@QEAAJPEAVElement@2@PEAK@Z
       1894  765 00068524 ?Initialize@Page@DirectUI@@QEAAJPEAVElement@2@PEAK@Z
       1895  766 0002EE9C ?Initialize@Pages@DirectUI@@QEAAJPEAVElement@2@PEAK@Z
       1896  767 0002EE9C ?Initialize@Progress@DirectUI@@QEAAJPEAVElement@2@PEAK@Z
       1897  768 000616DC ?Initialize@RadioButtonGlyph@DirectUI@@QEAAJIPEAVElement@2@PEAK@Z
       1898  769 0000B7D4 ?Initialize@RefPointElement@DirectUI@@QEAAJIPEAVElement@2@PEAK@Z
       1899  76A 00063454 ?Initialize@RepeatButton@DirectUI@@QEAAJIPEAVElement@2@PEAK@Z
       1900  76B 0002EE9C ?Initialize@Repeater@DirectUI@@QEAAJPEAVElement@2@PEAK@Z
       1901  76C 000422BC ?Initialize@RowLayout@DirectUI@@QEAAJHII@Z
       1902  76D 0002895C ?Initialize@ScrollBar@DirectUI@@QEAAJ_NPEAVElement@2@PEAK@Z
       1903  76E 0002EE9C ?Initialize@Selector@DirectUI@@QEAAJPEAVElement@2@PEAK@Z
       1904  76F 0002EE9C ?Initialize@SelectorNoDefault@DirectUI@@QEAAJPEAVElement@2@PEAK@Z
       1905  770 00038238 ?Initialize@TableLayout@DirectUI@@QEAAXHHHPEAH@Z
